Class,Count,Accuracy,Precision,Recall,F1 Score,AUC
golf_ball,13,0.9113375796178343,0.6473988439306358,0.2807017543859649,0.3916083916083916,0.8291453250255532
parachute,13,0.9380891719745222,0.8585365853658536,0.4512820512820513,0.5915966386554622,0.9024117796395024
tench,14,0.9431847133757961,0.777027027027027,0.5943152454780362,0.6734992679355783,0.9121615008990612
english_springer,14,0.9123566878980892,0.5836065573770491,0.4506329113924051,0.5085714285714286,0.873270699609137
cassette_player,14,0.925859872611465,0.6153846153846154,0.49299719887955185,0.5474339035769828,0.886144816671063
chain_saw,14,0.8993630573248408,0.4383561643835616,0.08290155440414508,0.1394335511982571,0.7278354296389453
church,14,0.9121019108280255,0.6259842519685039,0.38875305623471884,0.4796380090497738,0.8589778894108941
french_horn,14,0.8985987261146496,0.4888888888888889,0.2233502538071066,0.30662020905923343,0.8259246959849456
garbage_truck,14,0.9149044585987262,0.5835866261398176,0.493573264781491,0.5348189415041783,0.8593504635391827
gas_pump,14,0.8950318471337579,0.5284552845528455,0.15513126491646778,0.23985239852398524,0.7845357498294775
golf_ball,14,0.904968152866242,0.5560344827586207,0.3233082706766917,0.40887480190174325,0.8346781588116634
parachute,14,0.9352866242038217,0.7035928143712575,0.6025641025641025,0.649171270718232,0.9068523555652268
tench,15,0.9447133757961783,0.7639751552795031,0.6356589147286822,0.693935119887165,0.9216940328920556
english_springer,15,0.9136305732484077,0.6443298969072165,0.31645569620253167,0.4244482173174873,0.8666912898483166
cassette_player,15,0.9207643312101911,0.5761589403973509,0.48739495798319327,0.5280728376327769,0.8761179359636231
chain_saw,15,0.9029299363057325,0.5274725274725275,0.12435233160621761,0.20125786163522014,0.7339087620255129
church,15,0.9118471337579618,0.6721311475409836,0.30073349633251834,0.4155405405405405,0.8539050265499526
french_horn,15,0.9026751592356688,0.54,0.20558375634517767,0.2977941176470588,0.823099106248212
garbage_truck,15,0.9179617834394904,0.6120401337792643,0.4704370179948586,0.5319767441860465,0.8626670660354313
gas_pump,15,0.8960509554140127,0.544,0.162291169451074,0.25,0.7631288741972506
golf_ball,15,0.9146496815286624,0.6797752808988764,0.3032581453634085,0.4194107452339688,0.8411375148023206
parachute,15,0.9393630573248407,0.7602739726027398,0.5692307692307692,0.6510263929618768,0.907006854531607
tench,16,0.9436942675159236,0.7643312101910829,0.6201550387596899,0.6847360912981455,0.9186667309374923
english_springer,16,0.9113375796178343,0.587360594795539,0.4,0.4759036144578313,0.8738057159249829
